id;code;date;details;status;payment_method;payment_date;payment_amount;product_order_id
1;Texas Concrete;2020-10-29T11:20:16;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-10-28T23:12:58;75071;94375
2;program Unbranded;2020-10-29T11:29:16;Marketing Consultant Berkshire;ISSUED;CASH_ON_DELIVERY;2020-10-29T03:53:47;8068;31806
3;Indian Rupee Ngultrum;2020-10-29T13:27:27;program PNG parse;ISSUED;CASH_ON_DELIVERY;2020-10-29T10:53:48;92121;74564
4;transmitting EXE parse;2020-10-29T09:51:17;open architecture;PAID;PAYPAL;2020-10-29T16:55:21;99574;33894
5;attitude-oriented;2020-10-29T04:22:14;Integration structure;CANCELLED;PAYPAL;2020-10-29T06:29:44;72584;98923
6;SDD auxiliary Utah;2020-10-29T07:26:42;Intelligent Frozen Salad;CANCELLED;PAYPAL;2020-10-28T22:48:53;7073;6807
7;Customer;2020-10-29T17:53:46;Cotton Auto Loan Account;ISSUED;CASH_ON_DELIVERY;2020-10-28T22:10:18;32780;10756
8;Arizona Awesome Fresh Soap system;2020-10-29T04:07:27;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2020-10-29T03:56:30;50263;19746
9;applications Generic;2020-10-29T02:22:13;Assurance;ISSUED;CASH_ON_DELIVERY;2020-10-29T16:59:52;36970;88317
10;functionalities bifurcated;2020-10-29T12:07:37;Investment Account;PAID;CREDIT_CARD;2020-10-29T12:07:37;94911;93817
