id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-10-28T19:32:00;payment unleash Jamaican Dollar;1
2;Rest;2020-10-29T14:48:30;Plains;2
3;Quality Plastic plum;2020-10-28T19:08:52;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-10-29T15:36:04;Architect SSL;4
5;zero tolerance;2020-10-29T12:32:23;user-facing CSS;5
6;ADP Ouguiya;2020-10-29T08:28:51;Garden;6
7;auxiliary;2020-10-29T16:44:51;functionalities Bedfordshire withdrawal;7
8;Data;2020-10-28T19:42:52;Viaduct hybrid;8
9;mesh;2020-10-29T18:08:31;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-10-29T16:07:25;Re-engineered withdrawal Ball;10
